author_name,comment,date,like_counts,reply_count,vidid
Y23 P05,Ajjubhai challenge for you custom card,2021-04-04T18:07:09Z,0,0,NFlpZL7_rNo
,Please 😭😭😭😭🙏🙏🙏,2021-04-04T18:02:27Z,0,0,NFlpZL7_rNo
Madhu Soni,Please 😭😭😭😭😭😭😭😭😭😭,2021-04-04T17:53:58Z,0,0,NFlpZL7_rNo
HAKER ANDROID GAMERZ,Op,2021-04-04T17:51:04Z,1,0,NFlpZL7_rNo
Nitin Mishra,Hii,2021-04-04T17:50:55Z,0,0,NFlpZL7_rNo
Y GAMING YT,Ajjubhai Omegle karo aap bhi,2021-04-04T17:49:29Z,1,0,NFlpZL7_rNo
Vishal Gandhi,Iiiue8eu,2021-04-04T17:37:25Z,1,0,NFlpZL7_rNo
Rohit Khan,op,2021-04-04T17:34:54Z,1,0,NFlpZL7_rNo
Pradeep Jadhaw,11 बजे के 15 minit time dekho पहले,2021-04-04T17:34:35Z,0,0,NFlpZL7_rNo
HeyAnnuPlays,Ab dekhi maine aapki streaming schme aap cool ho aapki hr video ka besbri sai intzaar hota hai 🤗🤗,2021-04-04T17:34:34Z,1,0,NFlpZL7_rNo
mafiya world gaming,Ajjubhai94,2021-04-04T17:30:59Z,0,0,NFlpZL7_rNo
mandakini jagtap,Hii,2021-04-04T17:29:42Z,0,0,NFlpZL7_rNo
Huzaifa Khan,Ajjiui bhau muslim hio,2021-04-04T17:27:26Z,0,0,NFlpZL7_rNo
Istikharrakesh Ahamd,Daymans me re iD pal Daymans Da Do,2021-04-04T17:25:50Z,0,0,NFlpZL7_rNo
awaz Oweas,Ajju Bhai aap Mein Dam Nahin Hai,2021-04-04T17:25:09Z,0,0,NFlpZL7_rNo
Istikharrakesh Ahamd,Ajjubhai94,2021-04-04T17:24:36Z,0,0,NFlpZL7_rNo
Mohammad Naeem,Daimands royal vala bandal nikalo,2021-04-04T17:23:34Z,0,0,NFlpZL7_rNo
Chetan Rahangdale,Please m1887 chalao,2021-04-04T17:23:13Z,0,0,NFlpZL7_rNo
Prakash Koli,અંજુ ભાઈ ડાયમંડ દોના,2021-04-04T17:22:22Z,1,0,NFlpZL7_rNo
Adarsh Pawar,B UI👍,2021-04-04T17:22:20Z,0,0,NFlpZL7_rNo
Surendra Pujari,Crono ki vajh se bande glue lagana bhul gaye hai 😂😂,2021-04-04T17:19:44Z,2,0,NFlpZL7_rNo
Mohammad Naeem,Nahi,2021-04-04T17:18:50Z,0,0,NFlpZL7_rNo
BINDU BB,I&#39;m from karnataka,2021-04-04T17:17:16Z,0,0,NFlpZL7_rNo
free fire shorts,Omegle,2021-04-04T17:14:44Z,1,0,NFlpZL7_rNo
Rahul Kumar rd gm,Hello Ajju bhai aap Manya ki girlfriend ka naam batao na,2021-04-04T17:14:19Z,0,0,NFlpZL7_rNo
Guddu Kumar,Ajjubhai Snipers ke jagah koi aur gun-van bhi chalao log like kam de rahe h yaar.,2021-04-04T17:12:45Z,1,0,NFlpZL7_rNo
BINDU BB,I am also RCB fan,2021-04-04T17:12:42Z,0,0,NFlpZL7_rNo
Wasiakram Shaikh,🙏🙏🙏🙏🙏,2021-04-04T17:10:37Z,0,0,NFlpZL7_rNo
Wasiakram Shaikh,Bhai Main Ajju bhai ko request Utha lena,2021-04-04T17:10:06Z,1,0,NFlpZL7_rNo
silent killer,Bhai mumbai k bare mai nhi,2021-04-04T17:09:05Z,0,0,NFlpZL7_rNo
RAJPUT GAMERZ,Brother apna face dikhao please,2021-04-04T17:07:42Z,0,0,NFlpZL7_rNo
NEW 1 GAMER,Helllo,2021-04-04T17:06:39Z,0,0,NFlpZL7_rNo
MAYUR RAKSHE,Tum kam bola karo bhai 🙏🙏🙏🙏🙏,2021-04-04T17:03:26Z,1,0,NFlpZL7_rNo
Rakesh Kumar,Top yo,2021-04-04T17:00:51Z,0,1,NFlpZL7_rNo
Kesarilal regar,Ajju Bhai friend riquest akseft Karna Karo nannubhai,2021-04-04T17:00:34Z,1,0,NFlpZL7_rNo
Rakesh Kumar,Uid2348826588,2021-04-04T17:00:14Z,0,0,NFlpZL7_rNo
darbar suresh,Mai ne apko follo bhi Kiya hai,2021-04-04T17:00:01Z,1,0,NFlpZL7_rNo
darbar suresh,Mai apka bahut bada fain hu,2021-04-04T16:59:36Z,1,0,NFlpZL7_rNo
Rakesh Kumar,Helloajjubhai,2021-04-04T16:59:12Z,1,0,NFlpZL7_rNo
Tamjid Ali,Op,2021-04-04T16:58:36Z,0,0,NFlpZL7_rNo
darbar suresh,Please,2021-04-04T16:58:28Z,1,0,NFlpZL7_rNo
darbar suresh,Ajuu bhi 1v1 karoge,2021-04-04T16:58:21Z,1,0,NFlpZL7_rNo
Daya Abbi,Us love story ko principal ne bi try kya apni girlfriend fe,2021-04-04T16:54:32Z,0,0,NFlpZL7_rNo
ABHISHEK MEENA,"<a href=""https://www.youtube.com/watch?v=NFlpZL7_rNo&amp;t=2h38m28s"">2:38:28</a>",2021-04-04T16:52:21Z,0,0,NFlpZL7_rNo
Archana patel,Me ne bunny mp40 free me nicala,2021-04-04T16:49:58Z,0,0,NFlpZL7_rNo
Jay Ravindra Gajare,Bhai aapne cap Konasi pahani hai,2021-04-04T16:49:49Z,0,0,NFlpZL7_rNo
Himanshu Choudhary,Ajju bhai please Yogesh ff ka friend bab jao,2021-04-04T16:47:32Z,1,0,NFlpZL7_rNo
TG SHORTS,<b>&quot;&quot;Any school or college students here&quot;&quot;</b> 💞,2021-04-04T16:46:50Z,2,4,NFlpZL7_rNo
Bhagyshri Landge,big fan bro,2021-04-04T16:44:59Z,0,0,NFlpZL7_rNo
Daya Abbi,Me apko sunana jatha hu,2021-04-04T16:43:36Z,0,0,NFlpZL7_rNo
ꜱᴀғᴇᴇᴋ ɪꜱʟᴀᴍ,🤩😍😲,2021-04-04T16:43:20Z,1,0,NFlpZL7_rNo
Dev kundu gaming,Wow,2021-04-04T16:43:20Z,0,0,NFlpZL7_rNo
ꜱᴀғᴇᴇᴋ ɪꜱʟᴀᴍ,Wow,2021-04-04T16:43:11Z,1,0,NFlpZL7_rNo
ꜱᴀғᴇᴇᴋ ɪꜱʟᴀᴍ,Hi,2021-04-04T16:43:03Z,1,0,NFlpZL7_rNo
Daya Abbi,Bhai me 9th class me padtha hu mere pass ek story time of my love story,2021-04-04T16:42:56Z,0,0,NFlpZL7_rNo
ꜱᴀғᴇᴇᴋ ɪꜱʟᴀᴍ,I&#39;d 21165174,2021-04-04T16:42:45Z,1,0,NFlpZL7_rNo
Savashi Solanki,Good morning,2021-04-04T16:42:28Z,1,0,NFlpZL7_rNo
Beast99 FF,Thank you for 660 subscribers❤️❤️❤️<br /><br />Abb 680 karwado guys<br /><br />Love you all for supporting❤️❤️,2021-04-04T16:40:36Z,2,0,NFlpZL7_rNo
