author_name,comment,date,like_counts,reply_count,vidid
Nikhil Kumar,Ajubhai kill chor,2021-04-04T18:38:12Z,0,0,H2PqFjFVEs
Chandan Chalak,Next mystery shop date??,2021-04-04T18:34:19Z,0,0,H2PqFjFVEs
Vedanshi Vashishth,ajju bhai op,2021-04-04T18:30:14Z,0,0,H2PqFjFVEs
Mokim Khan,RCB King Kohli I&#39;m big fan King Kohli,2021-04-04T18:22:51Z,0,0,H2PqFjFVEs
Mnbvcx Lkjhgf,O..............P,2021-04-04T18:21:35Z,0,0,H2PqFjFVEs
Ajit Kumar,गुड नाईट में देख रहा हूं भाई मोबाइल चार्ज नहीं था,2021-04-04T18:21:34Z,0,0,H2PqFjFVEs
Mnbvcx Lkjhgf,Ajjubhai factory video banao plss plss plss......👍👍👍👍,2021-04-04T18:20:56Z,0,0,H2PqFjFVEs
Mnbvcx Lkjhgf,Hi bro.....👏👏,2021-04-04T18:19:04Z,0,0,H2PqFjFVEs
Mnbvcx Lkjhgf,Hi bro.....👏👏,2021-04-04T18:18:12Z,0,0,H2PqFjFVEs
Ansh Sharma,Hello ajjubhai 94 kaha as ho ajjubhai,2021-04-04T18:13:10Z,0,0,H2PqFjFVEs
Y23 P05,Ajjubhai challenge for you custom card,2021-04-04T18:07:09Z,0,0,H2PqFjFVEs
Sorabh Jassi,Please 😭😭😭😭🙏🙏🙏,2021-04-04T18:02:27Z,0,0,H2PqFjFVEs
Madhu Soni,Please 😭😭😭😭😭😭😭😭😭😭,2021-04-04T17:53:58Z,0,0,H2PqFjFVEs
HAKER ANDROID GAMERZ,Op,2021-04-04T17:51:04Z,1,0,H2PqFjFVEs
Nitin Mishra,Hii,2021-04-04T17:50:55Z,0,0,H2PqFjFVEs
Y GAMING YT,Ajjubhai Omegle karo aap bhi,2021-04-04T17:49:29Z,1,0,H2PqFjFVEs
Vishal Gandhi,Iiiue8eu,2021-04-04T17:37:25Z,1,0,H2PqFjFVEs
Rohit Khan,op,2021-04-04T17:34:54Z,1,0,H2PqFjFVEs
Pradeep Jadhaw,11 बजे के 15 minit time dekho पहले,2021-04-04T17:34:35Z,0,0,H2PqFjFVEs
HeyAnnuPlays,Ab dekhi maine aapki streaming schme aap cool ho aapki hr video ka besbri sai intzaar hota hai 🤗🤗,2021-04-04T17:34:34Z,1,0,H2PqFjFVEs
mafiya world gaming,Ajjubhai94,2021-04-04T17:30:59Z,0,0,H2PqFjFVEs
mandakini jagtap,Hii,2021-04-04T17:29:42Z,0,0,H2PqFjFVEs
Huzaifa Khan,Ajjiui bhau muslim hio,2021-04-04T17:27:26Z,0,0,H2PqFjFVEs
Istikharrakesh Ahamd,Daymans me re iD pal Daymans Da Do,2021-04-04T17:25:50Z,0,0,H2PqFjFVEs
awaz Oweas,Ajju Bhai aap Mein Dam Nahin Hai,2021-04-04T17:25:09Z,0,0,H2PqFjFVEs
Istikharrakesh Ahamd,Ajjubhai94,2021-04-04T17:24:36Z,0,0,H2PqFjFVEs
Mohammad Naeem,Daimands royal vala bandal nikalo,2021-04-04T17:23:34Z,0,0,H2PqFjFVEs
Chetan Rahangdale,Please m1887 chalao,2021-04-04T17:23:13Z,0,0,H2PqFjFVEs
Prakash Koli,અંજુ ભાઈ ડાયમંડ દોના,2021-04-04T17:22:22Z,1,0,H2PqFjFVEs
